Waste type,Month,Value,Source_Sheet
Dry waste,Hostel no -25,5,Sept2025
TOTAL (Kg),Hostel no -25,16,Sept2025
Waste type,Hostel no -25,Hostel no -25,Sept2025
Wet waste,Hostel no -25,10,Sept2025
Dry waste,Hostel no -25,4,Sept2025
TOTAL (Kg),Hostel no -25,14,Sept2025
Waste type,Hostel no -25,Hostel no -25,Sept2025
Wet waste,Hostel no -25,5,Sept2025
Dry waste,Hostel no -25,3,Sept2025
TOTAL (Kg),Hostel no -25,8,Sept2025
Waste type,Hostel no -25,Hostel no -25,Sept2025
Wet waste,Hostel no -25,6,Sept2025
Dry waste,Hostel no -25,4,Sept2025
TOTAL (Kg),Hostel no -25,10,Sept2025
Waste type,Hostel no -25,Hostel no -25,Sept2025
Wet waste,Hostel no -25,6,Sept2025
Dry waste,Hostel no -25,4,Sept2025
TOTAL (Kg),Hostel no -25,10,Sept2025
Waste type,Hostel no -25,Hostel no -25,Sept2025
Wet waste,Hostel no -25,9,Sept2025
Dry waste,Hostel no -25,5,Sept2025
TOTAL (Kg),Hostel no -25,14,Sept2025
Waste type,Hostel no -25,Hostel no -25,Sept2025
Wet waste,Hostel no -25,8,Sept2025
Dry waste,Hostel no -25,5,Sept2025
TOTAL (Kg),Hostel no -25,13,Sept2025
Waste type,Hostel no -25,Hostel no -25,Sept2025
Wet waste,Hostel no -25,6,Sept2025
Dry waste,Hostel no -25,4,Sept2025
TOTAL (Kg),Hostel no -25,10,Sept2025
Wet waste,Hostel no -26,14,Sept2025
Dry waste,Hostel no -26,11,Sept2025
TOTAL (Kg),Hostel no -26,25,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,20,Sept2025
Dry waste,Hostel no -26,9,Sept2025
TOTAL (Kg),Hostel no -26,29,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,14,Sept2025
Dry waste,Hostel no -26,5,Sept2025
TOTAL (Kg),Hostel no -26,19,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,17,Sept2025
Dry waste,Hostel no -26,7,Sept2025
TOTAL (Kg),Hostel no -26,24,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,15,Sept2025
Dry waste,Hostel no -26,12,Sept2025
TOTAL (Kg),Hostel no -26,27,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,16,Sept2025
Dry waste,Hostel no -26,6,Sept2025
TOTAL (Kg),Hostel no -26,22,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,10,Sept2025
Dry waste,Hostel no -26,5,Sept2025
TOTAL (Kg),Hostel no -26,15,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,12,Sept2025
Dry waste,Hostel no -26,5,Sept2025
TOTAL (Kg),Hostel no -26,17,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,15,Sept2025
Dry waste,Hostel no -26,8,Sept2025
TOTAL (Kg),Hostel no -26,23,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,8,Sept2025
Dry waste,Hostel no -26,6,Sept2025
TOTAL (Kg),Hostel no -26,14,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,4,Sept2025
Dry waste,Hostel no -26,2,Sept2025
TOTAL (Kg),Hostel no -26,6,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,11,Sept2025
Dry waste,Hostel no -26,4,Sept2025
TOTAL (Kg),Hostel no -26,15,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,12,Sept2025
Dry waste,Hostel no -26,11,Sept2025
TOTAL (Kg),Hostel no -26,23,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,7,Sept2025
Dry waste,Hostel no -26,4,Sept2025
TOTAL (Kg),Hostel no -26,11,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,6,Sept2025
Dry waste,Hostel no -26,6,Sept2025
TOTAL (Kg),Hostel no -26,12,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,9,Sept2025
Dry waste,Hostel no -26,7,Sept2025
TOTAL (Kg),Hostel no -26,16,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,24,Sept2025
Dry waste,Hostel no -26,7,Sept2025
TOTAL (Kg),Hostel no -26,31,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,10,Sept2025
Dry waste,Hostel no -26,6,Sept2025
TOTAL (Kg),Hostel no -26,16,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,8,Sept2025
Dry waste,Hostel no -26,5,Sept2025
TOTAL (Kg),Hostel no -26,13,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,4,Sept2025
Dry waste,Hostel no -26,3,Sept2025
TOTAL (Kg),Hostel no -26,7,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,8,Sept2025
Dry waste,Hostel no -26,2,Sept2025
TOTAL (Kg),Hostel no -26,10,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,4,Sept2025
Dry waste,Hostel no -26,6,Sept2025
TOTAL (Kg),Hostel no -26,10,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,9,Sept2025
Dry waste,Hostel no -26,3,Sept2025
TOTAL (Kg),Hostel no -26,12,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,9,Sept2025
Dry waste,Hostel no -26,3,Sept2025
TOTAL (Kg),Hostel no -26,12,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,6,Sept2025
Dry waste,Hostel no -26,4,Sept2025
TOTAL (Kg),Hostel no -26,10,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,20,Sept2025
Dry waste,Hostel no -26,8,Sept2025
TOTAL (Kg),Hostel no -26,28,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,3,Sept2025
Dry waste,Hostel no -26,2,Sept2025
TOTAL (Kg),Hostel no -26,5,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,5,Sept2025
Dry waste,Hostel no -26,4,Sept2025
TOTAL (Kg),Hostel no -26,9,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,9,Sept2025
Dry waste,Hostel no -26,8,Sept2025
TOTAL (Kg),Hostel no -26,17,Sept2025
Waste type,Hostel no -26,Hostel no -26,Sept2025
Wet waste,Hostel no -26,19,Sept2025
Dry waste,Hostel no -26,14,Sept2025
TOTAL (Kg),Hostel no -26,33,Sept2025
Wet waste,Hostel no -27,9,Sept2025
Dry waste,Hostel no -27,6,Sept2025
TOTAL (Kg),Hostel no -27,15,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,10,Sept2025
Dry waste,Hostel no -27,15,Sept2025
TOTAL (Kg),Hostel no -27,25,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,11,Sept2025
Dry waste,Hostel no -27,4,Sept2025
TOTAL (Kg),Hostel no -27,15,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,7,Sept2025
Dry waste,Hostel no -27,4,Sept2025
TOTAL (Kg),Hostel no -27,11,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,9,Sept2025
Dry waste,Hostel no -27,16,Sept2025
TOTAL (Kg),Hostel no -27,25,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,9,Sept2025
Dry waste,Hostel no -27,3,Sept2025
TOTAL (Kg),Hostel no -27,12,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,10,Sept2025
Dry waste,Hostel no -27,15,Sept2025
TOTAL (Kg),Hostel no -27,25,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,12,Sept2025
Dry waste,Hostel no -27,15,Sept2025
TOTAL (Kg),Hostel no -27,27,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,10,Sept2025
Dry waste,Hostel no -27,9,Sept2025
TOTAL (Kg),Hostel no -27,19,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,8,Sept2025
Dry waste,Hostel no -27,5,Sept2025
TOTAL (Kg),Hostel no -27,13,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,10,Sept2025
Dry waste,Hostel no -27,6,Sept2025
TOTAL (Kg),Hostel no -27,16,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,11,Sept2025
Dry waste,Hostel no -27,7,Sept2025
TOTAL (Kg),Hostel no -27,18,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,12,Sept2025
Dry waste,Hostel no -27,12,Sept2025
TOTAL (Kg),Hostel no -27,24,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,5,Sept2025
Dry waste,Hostel no -27,3,Sept2025
TOTAL (Kg),Hostel no -27,8,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,6,Sept2025
Dry waste,Hostel no -27,9,Sept2025
TOTAL (Kg),Hostel no -27,15,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,13,Sept2025
Dry waste,Hostel no -27,10,Sept2025
TOTAL (Kg),Hostel no -27,23,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,10,Sept2025
Dry waste,Hostel no -27,4,Sept2025
TOTAL (Kg),Hostel no -27,14,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,10,Sept2025
Dry waste,Hostel no -27,5,Sept2025
TOTAL (Kg),Hostel no -27,15,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,2,Sept2025
Dry waste,Hostel no -27,6,Sept2025
TOTAL (Kg),Hostel no -27,8,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,3,Sept2025
Dry waste,Hostel no -27,10,Sept2025
TOTAL (Kg),Hostel no -27,13,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,7,Sept2025
Dry waste,Hostel no -27,6,Sept2025
TOTAL (Kg),Hostel no -27,13,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,3,Sept2025
Dry waste,Hostel no -27,9,Sept2025
TOTAL (Kg),Hostel no -27,12,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,9,Sept2025
Dry waste,Hostel no -27,2,Sept2025
TOTAL (Kg),Hostel no -27,11,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,10,Sept2025
Dry waste,Hostel no -27,2,Sept2025
TOTAL (Kg),Hostel no -27,12,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,6,Sept2025
Dry waste,Hostel no -27,6,Sept2025
TOTAL (Kg),Hostel no -27,12,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,6,Sept2025
Dry waste,Hostel no -27,3,Sept2025
TOTAL (Kg),Hostel no -27,9,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,7,Sept2025
Dry waste,Hostel no -27,3,Sept2025
TOTAL (Kg),Hostel no -27,10,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,3,Sept2025
Dry waste,Hostel no -27,4,Sept2025
TOTAL (Kg),Hostel no -27,7,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,3,Sept2025
Dry waste,Hostel no -27,5,Sept2025
TOTAL (Kg),Hostel no -27,8,Sept2025
Waste type,Hostel no -27,Hostel no -27,Sept2025
Wet waste,Hostel no -27,18,Sept2025
Dry waste,Hostel no -27,8,Sept2025
TOTAL (Kg),Hostel no -27,26,Sept2025
Wet waste,Hostel no -28,14,Sept2025
Dry waste,Hostel no -28,4,Sept2025
TOTAL (Kg),Hostel no -28,18,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,16,Sept2025
Dry waste,Hostel no -28,9,Sept2025
TOTAL (Kg),Hostel no -28,25,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,13,Sept2025
Dry waste,Hostel no -28,5,Sept2025
TOTAL (Kg),Hostel no -28,18,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,12,Sept2025
Dry waste,Hostel no -28,4,Sept2025
TOTAL (Kg),Hostel no -28,16,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,17,Sept2025
Dry waste,Hostel no -28,8,Sept2025
TOTAL (Kg),Hostel no -28,25,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,15,Sept2025
Dry waste,Hostel no -28,8,Sept2025
TOTAL (Kg),Hostel no -28,23,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,21,Sept2025
Dry waste,Hostel no -28,11,Sept2025
TOTAL (Kg),Hostel no -28,32,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,16,Sept2025
Dry waste,Hostel no -28,15,Sept2025
TOTAL (Kg),Hostel no -28,31,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,16,Sept2025
Dry waste,Hostel no -28,5,Sept2025
TOTAL (Kg),Hostel no -28,21,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,16,Sept2025
Dry waste,Hostel no -28,5,Sept2025
TOTAL (Kg),Hostel no -28,21,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,10,Sept2025
Dry waste,Hostel no -28,6,Sept2025
TOTAL (Kg),Hostel no -28,16,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,11,Sept2025
Dry waste,Hostel no -28,4,Sept2025
TOTAL (Kg),Hostel no -28,15,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,18,Sept2025
Dry waste,Hostel no -28,10,Sept2025
TOTAL (Kg),Hostel no -28,28,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,15,Sept2025
Dry waste,Hostel no -28,5,Sept2025
TOTAL (Kg),Hostel no -28,20,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,14,Sept2025
Dry waste,Hostel no -28,6,Sept2025
TOTAL (Kg),Hostel no -28,20,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,15,Sept2025
Dry waste,Hostel no -28,3,Sept2025
TOTAL (Kg),Hostel no -28,18,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,11,Sept2025
Dry waste,Hostel no -28,7,Sept2025
TOTAL (Kg),Hostel no -28,18,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,11,Sept2025
Dry waste,Hostel no -28,9,Sept2025
TOTAL (Kg),Hostel no -28,20,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,18,Sept2025
Dry waste,Hostel no -28,3,Sept2025
TOTAL (Kg),Hostel no -28,21,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,10,Sept2025
Dry waste,Hostel no -28,4,Sept2025
TOTAL (Kg),Hostel no -28,14,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,11,Sept2025
Dry waste,Hostel no -28,7,Sept2025
TOTAL (Kg),Hostel no -28,18,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,10,Sept2025
Dry waste,Hostel no -28,4,Sept2025
TOTAL (Kg),Hostel no -28,14,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,10,Sept2025
Dry waste,Hostel no -28,3,Sept2025
TOTAL (Kg),Hostel no -28,13,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,16,Sept2025
Dry waste,Hostel no -28,3,Sept2025
TOTAL (Kg),Hostel no -28,19,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,17,Sept2025
Dry waste,Hostel no -28,6,Sept2025
TOTAL (Kg),Hostel no -28,23,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,19,Sept2025
Dry waste,Hostel no -28,3,Sept2025
TOTAL (Kg),Hostel no -28,22,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,15,Sept2025
Dry waste,Hostel no -28,4,Sept2025
TOTAL (Kg),Hostel no -28,19,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,14,Sept2025
Dry waste,Hostel no -28,3,Sept2025
TOTAL (Kg),Hostel no -28,17,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,14,Sept2025
Dry waste,Hostel no -28,2,Sept2025
TOTAL (Kg),Hostel no -28,16,Sept2025
Waste type,Hostel no -28,Hostel no -28,Sept2025
Wet waste,Hostel no -28,18,Sept2025
Dry waste,Hostel no -28,3,Sept2025
TOTAL (Kg),Hostel no -28,21,Sept2025
Wet waste,Hostel no -29,25,Sept2025
Dry waste,Hostel no -29,14,Sept2025
TOTAL (Kg),Hostel no -29,39,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,20,Sept2025
Dry waste,Hostel no -29,5,Sept2025
TOTAL (Kg),Hostel no -29,25,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,18,Sept2025
Dry waste,Hostel no -29,8,Sept2025
TOTAL (Kg),Hostel no -29,26,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,30,Sept2025
Dry waste,Hostel no -29,10,Sept2025
TOTAL (Kg),Hostel no -29,40,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,23,Sept2025
Dry waste,Hostel no -29,20,Sept2025
TOTAL (Kg),Hostel no -29,43,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,24,Sept2025
Dry waste,Hostel no -29,18,Sept2025
TOTAL (Kg),Hostel no -29,42,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,28,Sept2025
Dry waste,Hostel no -29,12,Sept2025
TOTAL (Kg),Hostel no -29,40,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,19,Sept2025
Dry waste,Hostel no -29,18,Sept2025
TOTAL (Kg),Hostel no -29,37,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,15,Sept2025
Dry waste,Hostel no -29,12,Sept2025
TOTAL (Kg),Hostel no -29,27,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,16,Sept2025
Dry waste,Hostel no -29,11,Sept2025
TOTAL (Kg),Hostel no -29,27,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,18,Sept2025
Dry waste,Hostel no -29,20,Sept2025
TOTAL (Kg),Hostel no -29,38,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
TOTAL (Kg),Hostel no -29,0,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,19,Sept2025
Dry waste,Hostel no -29,14,Sept2025
TOTAL (Kg),Hostel no -29,33,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,35,Sept2025
Dry waste,Hostel no -29,20,Sept2025
TOTAL (Kg),Hostel no -29,55,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,18,Sept2025
Dry waste,Hostel no -29,12,Sept2025
TOTAL (Kg),Hostel no -29,30,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,24,Sept2025
Dry waste,Hostel no -29,15,Sept2025
TOTAL (Kg),Hostel no -29,39,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,16,Sept2025
Dry waste,Hostel no -29,15,Sept2025
TOTAL (Kg),Hostel no -29,31,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,18,Sept2025
Dry waste,Hostel no -29,16,Sept2025
TOTAL (Kg),Hostel no -29,34,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,15,Sept2025
Dry waste,Hostel no -29,11,Sept2025
TOTAL (Kg),Hostel no -29,26,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,12,Sept2025
Dry waste,Hostel no -29,10,Sept2025
TOTAL (Kg),Hostel no -29,22,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,18,Sept2025
Dry waste,Hostel no -29,14,Sept2025
TOTAL (Kg),Hostel no -29,32,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,12,Sept2025
Dry waste,Hostel no -29,10,Sept2025
TOTAL (Kg),Hostel no -29,22,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,6,Sept2025
Dry waste,Hostel no -29,5,Sept2025
TOTAL (Kg),Hostel no -29,11,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,9,Sept2025
Dry waste,Hostel no -29,6,Sept2025
TOTAL (Kg),Hostel no -29,15,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,12,Sept2025
Dry waste,Hostel no -29,12,Sept2025
TOTAL (Kg),Hostel no -29,24,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,7,Sept2025
Dry waste,Hostel no -29,5,Sept2025
TOTAL (Kg),Hostel no -29,12,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,10,Sept2025
Dry waste,Hostel no -29,4,Sept2025
TOTAL (Kg),Hostel no -29,14,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,11,Sept2025
Dry waste,Hostel no -29,8,Sept2025
TOTAL (Kg),Hostel no -29,19,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,13,Sept2025
Dry waste,Hostel no -29,10,Sept2025
TOTAL (Kg),Hostel no -29,23,Sept2025
Waste type,Hostel no -29,Hostel no -29,Sept2025
Wet waste,Hostel no -29,8,Sept2025
Dry waste,Hostel no -29,6,Sept2025
TOTAL (Kg),Hostel no -29,14,Sept2025
Wet waste,Hostel no -30,65,Sept2025
Dry waste,Hostel no -30,18,Sept2025
TOTAL (Kg),Hostel no -30,83,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,30,Sept2025
Dry waste,Hostel no -30,84,Sept2025
TOTAL (Kg),Hostel no -30,114,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,25,Sept2025
Dry waste,Hostel no -30,11,Sept2025
TOTAL (Kg),Hostel no -30,36,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,21,Sept2025
Dry waste,Hostel no -30,13,Sept2025
TOTAL (Kg),Hostel no -30,34,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,29,Sept2025
Dry waste,Hostel no -30,12,Sept2025
TOTAL (Kg),Hostel no -30,41,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,26,Sept2025
Dry waste,Hostel no -30,7,Sept2025
TOTAL (Kg),Hostel no -30,33,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,23,Sept2025
Dry waste,Hostel no -30,9,Sept2025
TOTAL (Kg),Hostel no -30,32,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,30,Sept2025
Dry waste,Hostel no -30,214,Sept2025
TOTAL (Kg),Hostel no -30,244,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,22,Sept2025
Dry waste,Hostel no -30,10,Sept2025
TOTAL (Kg),Hostel no -30,32,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,27,Sept2025
Dry waste,Hostel no -30,13,Sept2025
TOTAL (Kg),Hostel no -30,40,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,30,Sept2025
Dry waste,Hostel no -30,30,Sept2025
TOTAL (Kg),Hostel no -30,60,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
TOTAL (Kg),Hostel no -30,0,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,40,Sept2025
Dry waste,Hostel no -30,12,Sept2025
TOTAL (Kg),Hostel no -30,52,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,40,Sept2025
Dry waste,Hostel no -30,18,Sept2025
TOTAL (Kg),Hostel no -30,58,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,25,Sept2025
Dry waste,Hostel no -30,10,Sept2025
TOTAL (Kg),Hostel no -30,35,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,30,Sept2025
Dry waste,Hostel no -30,8,Sept2025
TOTAL (Kg),Hostel no -30,38,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,18,Sept2025
Dry waste,Hostel no -30,10,Sept2025
TOTAL (Kg),Hostel no -30,28,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,29,Sept2025
Dry waste,Hostel no -30,8,Sept2025
TOTAL (Kg),Hostel no -30,37,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,18,Sept2025
Dry waste,Hostel no -30,9,Sept2025
